"priority","keywords","notes"
"Housing Affordability","housing, affordable housing, rent, rental, renter, mortgage, homeownership, homelessness, housing costs, home prices","Potentially broad because housing appears in many event descriptions."
"Veterans","veterans, veteran, Veterans Affairs, Department of Veterans Affairs, military service, service members, servicemembers, veterans benefits, armed forces, troops, wounded warrior","Avoids short VA token because substring matching was too noisy."
"Border Security","border security, border, immigration, migrants, asylum, fentanyl, cartels, customs, border patrol, southern border","Potentially broad because border and immigration can match general debates."
"Cost of Living","cost of living, inflation, prices, price gouging, groceries, gas prices, household costs, wages, affordability, economic pressure","Potentially broad due affordability and prices."
"National Security","national security, defense, military, intelligence, foreign policy, war powers, Iran, China, Russia, terrorism, homeland security","Potentially broad for foreign policy hearings."
"Protecting Democracy/Institutions","democracy, voting rights, election, elections, institutions, rule of law, accountability, ethics, corruption, constitutional","Potentially broad where accountability appears in oversight contexts."
"Healthcare","health care, healthcare, Medicaid, Medicare, insurance, hospital, hospitals, prescription drugs, drug prices, patient, public health","Practical healthcare policy terms."
"Poverty","poverty, low-income, low income, hunger, food assistance, SNAP, safety net, homelessness, child tax credit, economic insecurity","Potentially broad because homelessness overlaps housing."
"Fiscal Responsibility","fiscal responsibility, budget, deficit, debt, spending, appropriations, taxpayer, waste, government efficiency, federal budget","Narrow budget and spending terms."
"Public Lands","public lands, national parks, forests, conservation, land management, Bureau of Land Management, outdoor recreation, wilderness, parks","Avoids short BLM token because substring matching can be ambiguous."
"Labor","labor, workers, unions, union, wages, workplace, strike, collective bargaining, jobs, workforce, overtime","Practical labor and workforce terms."
"Trade/Tariffs","trade, tariff, tariffs, manufacturing, supply chain, imports, exports, trade policy, trade deficit","Removed standalone China because broad-only review was noisy."
"Affordability","affordability, costs, prices, inflation, cost of living, housing costs, groceries, rent, utility bills, price gouging, family budgets","Removed standalone affordable; still broad by design."
"Skilled Trades","skilled trades, apprenticeships, apprenticeship, vocational, workforce training, trades, electricians, plumbers, credential, career technical education","Narrow to trades and training terms."
"Small Business","small business, small businesses, entrepreneurs, entrepreneurship, startups, Main Street, business owners, capital access, regulation, franchise","Practical small business terms."
"Rural","rural, small towns, farming, agriculture, broadband, rural hospitals, rural communities, main street, county, agricultural","Potentially broad because agriculture overlaps."
"Childcare","childcare, child care, child-care, early childhood, preschool, Head Start, child care costs, parents, families, care economy","Narrow to care and early childhood terms."
"Manufacturing","manufacturing, factories, factory, industrial, supply chain, auto industry, steel, semiconductors, reshoring, made in America","Practical manufacturing terms."
"Anti-Corruption","corruption, anti-corruption, ethics, accountability, oversight, transparency, conflicts of interest, insider trading, fraud, abuse","Potentially broad because oversight and accountability are common."
"Agriculture","agriculture, farming, farmers, farm, crops, livestock, USDA, food supply, SNAP, farm bill, rural economy","Practical agriculture terms; SNAP can overlap poverty."
"Technology/Innovation","technology, innovation, tech, artificial intelligence, AI governance, data, privacy, cybersecurity, broadband, startups, digital, emerging technology, semiconductors","Removed research after broad-only review; keeps stronger tech and privacy terms."
"Anti-Trust/Competition","antitrust, anti-trust, competition, monopoly, monopolies, consolidation, market power, price fixing, consumer protection, corporate concentration","Narrow competition policy terms."
"AI Governance","artificial intelligence, algorithm, algorithms, automation, data privacy, AI regulation, AI guardrails, emerging technology, machine learning, automated decision","Avoids standalone AI because substring matching was too noisy."
"LGBTQ+ Rights","LGBTQ, LGBT, transgender, trans, equality, discrimination, civil rights, gender affirming, marriage equality, queer","Narrow rights-related terms."
"Paid Family and Medical Leave","paid leave, family leave, medical leave, paid family leave, FMLA, parental leave, sick leave, caregiving, caregivers, care workers","Narrow leave and caregiving terms."
"Wildfire Prep/Mitigation","wildfire, wildfires, fire risk, forest management, mitigation, firefighters, FEMA, disaster preparedness, emergency management, smoke","Practical wildfire and preparedness terms."
"Public Safety","public safety, police, crime, gun violence, law enforcement, emergency response, violence, first responders, fentanyl, community safety","Potentially broad because crime and violence are common."
"Homelessness","homelessness, homeless, unhoused, shelters, housing first, encampments, affordable housing, supportive housing, housing insecurity, eviction","Focused but overlaps housing."
"Revitalization","revitalization, economic development, redevelopment, downtown, main street, investment, jobs, community development, neighborhoods","Removed infrastructure; investment and jobs remain intentionally broad review terms."
"Infrastructure","infrastructure, roads, bridges, broadband, transit, rail, airports, water systems, ports, transportation, public works","Practical infrastructure terms."
"Education","education, schools, students, teachers, classroom, college, student loans, K-12, higher education, school funding","Practical education terms."
"Water","water, drinking water, wastewater, drought, water supply, clean water, PFAS, lead pipes, river, water infrastructure","Narrow water infrastructure and quality terms."
"Economic Mobility","economic mobility, opportunity, wages, workforce, jobs, training, apprenticeships, education, poverty, middle class","Potentially broad because jobs and education overlap."
"Transit","transit, transportation, bus, buses, rail, commuter, subway, public transportation, traffic, roads","Removed infrastructure; keeps transit-specific transportation terms."
"Climate","climate, clean energy, emissions, carbon, renewable, extreme weather, environmental, pollution, resilience, greenhouse gas","Practical climate and environment terms."
"Disaster Recovery","disaster recovery, disaster, FEMA, emergency management, hurricane, flood, wildfire, recovery aid, resilience, natural disaster","Potentially broad because disaster overlaps wildfire."
"Criminal Justice Reform","criminal justice, justice reform, sentencing, prison, prisons, incarceration, reentry, policing, bail, public defenders","Narrow justice system terms."
"Protecting Kids Online","kids online, online safety, child safety, social media, children, minors, privacy, online privacy, platforms, internet safety","Potentially broad because children and platforms can match unrelated tech rows."
"Tourism","tourism, travel, visitors, hospitality, hotels, recreation, parks, small business, local economy, destination","Narrow to travel and local economy terms."
