topic,aliases
Affordability,"Affordability; cost of living; costs; prices; inflation; grocery prices; gas prices; rent; housing costs; wages; middle class; working families"
Agriculture,"Agriculture; farm bill; farms; farmers; ranchers; USDA; crops; livestock; rural economy; food supply; agricultural producers; conservation programs"
AI Governance,"AI Governance; artificial intelligence; AI; AI regulation; AI safety; AI standards; algorithmic accountability; data privacy; cybersecurity; automated systems; emerging technology"
Anti-Corruption,"Anti-Corruption; corruption; ethics; government ethics; public integrity; accountability; transparency; conflicts of interest; inspector general; campaign finance; abuse of power; watchdog"
Anti-Trust/Competition,"Anti-Trust/Competition; antitrust; anti-trust; competition; monopoly; monopolies; market power; price fixing; FTC; Federal Trade Commission; consumer protection; big tech"
Auto/Manufacturing,"Auto/Manufacturing; auto industry; automobiles; cars; electric vehicles; EVs; manufacturing; factories; supply chain; autoworkers; UAW; industrial policy"
Border Security,"Border Security; border; border security; immigration; customs and border protection; border protection; CBP; ICE; DHS; homeland security; asylum; migrants; fentanyl; cartels"
Childcare,"Childcare; child care; childcare costs; child care costs; early childhood; preschool; Head Start; daycare; families; care economy; child tax credit; working parents"
Climate,"Climate; climate change; environment; clean energy; emissions; extreme weather; disaster; wildfire; flooding; resilience; carbon pollution; EPA"
Cost of Living,"Cost of Living; cost of living; inflation; prices; grocery prices; gas prices; utility bills; rent; housing costs; wages; affordability; household costs; middle class"
Criminal Justice Reform,"Criminal Justice Reform; criminal justice; justice reform; policing; police reform; sentencing; prisons; incarceration; reentry; civil rights; public safety; law enforcement accountability"
Data Center,"Data Center; data center; data centers; AI infrastructure; artificial intelligence; electricity demand; energy demand; grid; power; water use; permitting; cloud computing"
Defense,"Defense; defense; military; veterans; armed services; national security; Pentagon; Ukraine; NATO; servicemembers; defense budget; Department of Defense"
Disaster Recovery,"Disaster Recovery; disaster recovery; FEMA; emergency management; disaster relief; hurricanes; wildfire recovery; flood recovery; resilience; mitigation; rebuilding; Stafford Act"
Economic Diversification,"Economic Diversification; economic diversification; economic development; regional economy; new industries; workforce development; entrepreneurship; innovation economy; rural economy; small business; manufacturing"
Economic Mobility,"Economic Mobility; economic mobility; opportunity; wages; jobs; workforce development; middle class; poverty; education; skills training; apprenticeships; upward mobility; working families"
Economic Revitalization,"Economic Revitalization; economic revitalization; revitalization; economic development; redevelopment; downtown; main street; infrastructure; investment; community development; jobs; small business"
Education,"Education; education; schools; teachers; students; college; universities; student loans; school lunch; childcare; child care; higher education"
Energy,"Energy; energy; electricity; power; grid; clean energy; renewable energy; oil; gas; energy prices; transmission; Department of Energy; permitting"
Extreme Heat/Fire Risk,"Extreme Heat/Fire Risk; extreme heat; heat wave; heat waves; wildfire; wildfires; fire risk; fire season; drought; emergency preparedness; mitigation; resilience; FEMA"
Farming/Agriculture,"Farming/Agriculture; farming; agriculture; farms; farmers; ranchers; farm bill; USDA; crops; livestock; food supply; agricultural economy; conservation"
Federal Budget,"Federal Budget; federal budget; budget; appropriations; spending; deficit; debt; fiscal year; government funding; shutdown; reconciliation; OMB; Congressional Budget Office"
Fiscal Responsibility,"Fiscal Responsibility; fiscal responsibility; deficit; debt; spending; budget; waste; government efficiency; taxpayer dollars; accountability; balanced budget; fiscal policy"
Healthcare,"Healthcare; health care; healthcare; Medicaid; Medicare; prescription drugs; drug prices; hospitals; insurance; ACA; Affordable Care Act; public health"
Homelessness,"Homelessness; homelessness; homeless; unsheltered; housing insecurity; shelters; affordable housing; supportive housing; mental health; veterans homelessness; housing assistance"
Housing,"Housing; housing; rent; renters; mortgage; home prices; homelessness; affordable housing; housing supply; homeownership; housing affordability; zoning"
Housing Affordability,"Housing Affordability; housing affordability; affordable housing; rent; renters; mortgage; home prices; homeownership; housing supply; homelessness; housing costs; rental assistance"
Infrastructure,"Infrastructure; infrastructure; roads; bridges; broadband; water infrastructure; transit; rail; airports; ports; highways; permitting; public works"
Labor,"Labor; labor; workers; unions; organized labor; collective bargaining; wages; workplace safety; NLRB; Department of Labor; apprenticeships; working families"
LGBTQ+ Rights,"LGBTQ+ Rights; LGBTQ; LGBTQ+; LGBT; equality; civil rights; discrimination; transgender; marriage equality; gender identity; hate crimes; equal protection"
Manufacturing,"Manufacturing; manufacturing; factories; industrial policy; supply chain; reshoring; made in America; CHIPS Act; advanced manufacturing; workers; auto industry; steel"
National Security,"National Security; national security; defense; military; intelligence; homeland security; terrorism; China; Russia; Ukraine; NATO; Pentagon; foreign policy"
Opioid Crisis,"Opioid Crisis; opioid crisis; opioids; fentanyl; overdose; addiction; substance use; treatment; naloxone; mental health; DEA; public health"
Paid Family and Medical Leave,"Paid Family and Medical Leave; paid family leave; paid medical leave; family leave; medical leave; paid leave; FMLA; caregiving; caregivers; working families; parental leave"
Paid Leave,"Paid Leave; paid leave; paid family leave; paid medical leave; sick leave; family leave; parental leave; FMLA; caregiving; workers; working families"
Poverty,"Poverty; poverty; low income; food insecurity; SNAP; child tax credit; economic mobility; housing assistance; homelessness; safety net; working families; wages"
Protecting Democracy/Institutions,"Protecting Democracy/Institutions; democracy; democratic institutions; voting rights; elections; election security; rule of law; accountability; ethics; constitutional; insurrection; peaceful transfer"
Protecting Kids Online,"Protecting Kids Online; kids online; children online; online safety; child online safety; social media; privacy; data privacy; youth mental health; internet safety; platforms"
Public Lands,"Public Lands; public lands; national parks; National Park Service; Bureau of Land Management; BLM; forests; wilderness; conservation; recreation; land management; monuments"
Public Safety,"Public Safety; public safety; crime; policing; police; law enforcement; fentanyl; guns; gun violence; community safety; emergency response"
Revitalization,"Revitalization; revitalization; redevelopment; economic development; downtown; main street; community development; neighborhood investment; small business; infrastructure; blight; local economy"
Rural,"Rural; rural; rural communities; rural hospitals; rural broadband; farm communities; small towns; agriculture; rural economy; rural development; USDA; telehealth"
Shipbuilding,"Shipbuilding; shipbuilding; shipyards; Navy; maritime; submarines; vessels; defense industrial base; naval construction; Coast Guard; ports; maritime industry"
Skilled Trades,"Skilled Trades; skilled trades; trades; apprenticeships; workforce training; career and technical education; CTE; vocational education; electricians; plumbers; construction workforce; labor"
Small Business,"Small Business; small business; entrepreneurs; entrepreneurship; Main Street; SBA; Small Business Administration; loans; access to capital; startups; local businesses; business owners"
Small Business Needs,"Small Business Needs; small business needs; small business; entrepreneurs; Main Street; SBA; access to capital; loans; regulation; taxes; workforce; local businesses"
Social Security,"Social Security; Social Security; retirement; seniors; benefits; COLA; Social Security Administration; SSA; trust fund; disability benefits; Medicare; retirement security"
Technology,"Technology; technology; tech; innovation; science and technology; artificial intelligence; AI; cybersecurity; data privacy; broadband; digital infrastructure; emerging technology"
Technology/Innovation,"Technology/Innovation; technology; innovation; tech; artificial intelligence; AI; cybersecurity; data privacy; research and development; R&D; emerging technology; broadband"
Tourism,"Tourism; tourism; travel; visitors; hospitality; hotels; outdoor recreation; national parks; local economy; small business; airports; recreation economy"
Trade/Tariffs,"Trade/Tariffs; trade; tariffs; tariff; imports; exports; supply chain; manufacturing; China trade; trade policy; trade deficit; WTO; customs"
Transit,"Transit; transit; public transit; buses; bus; rail; commuter rail; transportation; subway; transportation funding; FTA; Federal Transit Administration; infrastructure"
Veterans,"Veterans; veterans; VA; Department of Veterans Affairs; military; servicemembers; service members; benefits; veterans health; GI Bill; disability claims; veteran homelessness"
Water,"Water; water; drought; water supply; drinking water; wastewater; water infrastructure; Colorado River; PFAS; flooding; Bureau of Reclamation; clean water"
Wildfire Prep/Mitigation,"Wildfire Prep/Mitigation; wildfire; wildfires; wildfire mitigation; fire mitigation; forest management; prescribed burns; fire season; fuels reduction; FEMA; disaster preparedness; resilience"
