display_name,raw_member_priorities,parsed_priority_count,parse_notes
Ruben Gallego,"Water, Housing, Border Security, Extreme Heat/Fire Risk, Veterans | Housing Affordability, Veterans, Border Security, Cost of Living",7,
Elissa Slotkin,"Auto/Manufacturing | National Security, Cost of Living, Protecting Democracy/Institutions, Healthcare",5,
Michael Bennet,"Water, Housing, Affordability, Public Lands, Extreme Heat/Fire Risk | Poverty, Healthcare, Fiscal Responsibility, Public Lands",8,
Jared Golden,"Veterans | Veterans, National Security, Labor, Trade/Tariffs",4,
Marie Gluesenkamp Perez,"Rural, Farming/Agriculture, Small Business Needs | Affordability, Skilled Trades, Small Business, Rural",6,
Kristen McDonald Rivet,"Auto/Manufacturing, Affordability, Childcare | Affordability, Childcare, Manufacturing, Healthcare",5,
Gabe Vasquez,"Public Lands, Farming/Agriculture, Energy | Public Lands, Border Security",4,
Josh Riley,"Auto/Manufacturing, Healthcare, Affordability | Anti-Corruption, Trade/Tariffs, Manufacturing",6,
Angie Craig,"Farming/Agriculture, Healthcare, Affordability | Affordability, Childcare, Healthcare, Agriculture, Anti-Corruption",6,
Janelle Bynum,"Affordability, Small Business Needs | Affordability, Small Business, Technology/Innovation",4,
Pat Ryan,"Affordability, Veterans | Affordability, Veterans, Protecting Democracy/Institutions, Anti-Corruption",4,
Maggie Goodlander,"Technology, Veterans, Defense | Anti-Trust/Competition, Veterans, Technology/Innovation",5,
George Whitesides,"Extreme Heat/Fire Risk, Housing | Housing Affordability",3,
Jake Auchincloss,"Technology, Defense, Healthcare, Trade/Tariffs | Trade/Tariffs, Veterans, AI Governance, Technology/Innovation",7,
Sarah McBride,"Healthcare, Paid Leave, Childcare, Farming/Agriculture | Healthcare, LGBTQ+ Rights, Paid Family and Medical Leave, Affordability",7,
Joe Neguse,"Public Lands, Extreme Heat/Fire Risk, Technology, Affordability | Public Lands, Wildfire Prep/Mitigation, Protecting Democracy/Institutions, Rural",7,
Brendan Boyle,"Social Security, Federal Budget, Opioid Crisis, Public Safety, Healthcare | Fiscal Responsibility, Healthcare, Poverty",7,
Ritchie Torres,"Housing, Public Safety, Anti-Corruption, Poverty | Housing Affordability, Affordability, Poverty, Public Safety, Healthcare",7,
Abigail Spanberger,"Defense, Education, Data Center, Affordability | Affordability, Healthcare, Public Safety",6,
Mikie Sherrill,"Affordability, Housing, Transit | Affordability, Protecting Democracy/Institutions, Housing Affordability",5,
Austin Davis,"Opioid Crisis, Rural, Farming/Agriculture, Energy, Public Safety, Education | Public Safety",6,
Jeff Jackson,"Technology, Farming/Agriculture, Opioid Crisis, Affordability | Technology/Innovation, Anti-Trust/Competition",6,
Aftab Pureval,"Housing, Affordability, Public Safety, Poverty | Housing Affordability, Public Safety, Small Business",6,
Mike Johnston,"Homelessness, Affordability, Public Lands, Public Safety | Homelessness, Public Safety, Housing Affordability",5,
Justin Bibb,"Education, Healthcare, Poverty, Public Safety | Revitalization, Public Safety, Housing Affordability",6,
Cavalier Johnson,"Public Safety, Poverty, Housing | Public Safety, Housing Affordability, Revitalization",5,
Quinton Lucas,"Farming/Agriculture, Transit, Affordability, Public Safety | Affordability, Public Safety, Infrastructure",5,
Matt Mahan,"Technology, Housing, Affordability, Homelessness, Public Safety | Homelessness, Housing Affordability, Public Safety, Fiscal Responsibility",7,
Lauren McLean,"Housing, Affordability, Technology, Homelessness | Housing Affordability, Public Lands, Homelessness",6,
Paige Cognetti,"Economic Revitalization, Housing, Affordability | Fiscal Responsibility, Revitalization, Housing Affordability, Infrastructure",7,
Phillip Jones,"Shipbuilding, Public Safety, Housing | Public Safety, Education, Housing Affordability, Labor",6,
Ron Nirenberg,"Healthcare, Poverty, Affordability, Transit | Water, Housing Affordability, Economic Mobility, Transit",7,
Eileen Higgins,"Housing, Affordability, Climate, Transit | Housing Affordability, Transit, Climate, Technology/Innovation",6,
Zeb Smathers,"Economic Revitalization, Disaster Recovery, Tourism | Disaster Recovery, Revitalization, Infrastructure",5,
Don Scott,"Climate, Public Safety, Affordability, Healthcare | Affordability, Education, Healthcare, Public Safety, Criminal Justice Reform",6,
Buffy Wicks,"Technology, Housing, Affordability | Housing Affordability, Protecting Kids Online, Paid Family and Medical Leave, Public Safety, Homelessness",8,
Sandra Jauregui,"Housing, Affordability, Water, Public Safety | Public Safety, Housing Affordability, Healthcare, Public Lands",7,
James Talarico,"Education, Healthcare, Affordability | Education, Healthcare, Affordability, Protecting Democracy/Institutions",4,
Grant Hauschild,"Tourism, Healthcare | Tourism, Healthcare, Infrastructure, Public Safety, Labor",5,
Phil Olaleye,"Economic Revitalization, Affordability, Housing, Education | Housing Affordability, Education",5,
Kayla Young,"Opioid Crisis, Childcare, Economic Diversification | Childcare, Small Business, Paid Family and Medical Leave",5,
