display_name,priority
Ruben Gallego,Water
Ruben Gallego,Housing
Ruben Gallego,Border Security
Ruben Gallego,Extreme Heat/Fire Risk
Ruben Gallego,Veterans
Ruben Gallego,Housing Affordability
Ruben Gallego,Cost of Living
Elissa Slotkin,Auto/Manufacturing
Elissa Slotkin,National Security
Elissa Slotkin,Cost of Living
Elissa Slotkin,Protecting Democracy/Institutions
Elissa Slotkin,Healthcare
Michael Bennet,Water
Michael Bennet,Housing
Michael Bennet,Affordability
Michael Bennet,Public Lands
Michael Bennet,Extreme Heat/Fire Risk
Michael Bennet,Poverty
Michael Bennet,Healthcare
Michael Bennet,Fiscal Responsibility
Jared Golden,Veterans
Jared Golden,National Security
Jared Golden,Labor
Jared Golden,Trade/Tariffs
Marie Gluesenkamp Perez,Rural
Marie Gluesenkamp Perez,Farming/Agriculture
Marie Gluesenkamp Perez,Small Business Needs
Marie Gluesenkamp Perez,Affordability
Marie Gluesenkamp Perez,Skilled Trades
Marie Gluesenkamp Perez,Small Business
Kristen McDonald Rivet,Auto/Manufacturing
Kristen McDonald Rivet,Affordability
Kristen McDonald Rivet,Childcare
Kristen McDonald Rivet,Manufacturing
Kristen McDonald Rivet,Healthcare
Gabe Vasquez,Public Lands
Gabe Vasquez,Farming/Agriculture
Gabe Vasquez,Energy
Gabe Vasquez,Border Security
Josh Riley,Auto/Manufacturing
Josh Riley,Healthcare
Josh Riley,Affordability
Josh Riley,Anti-Corruption
Josh Riley,Trade/Tariffs
Josh Riley,Manufacturing
Angie Craig,Farming/Agriculture
Angie Craig,Healthcare
Angie Craig,Affordability
Angie Craig,Childcare
Angie Craig,Agriculture
Angie Craig,Anti-Corruption
Janelle Bynum,Affordability
Janelle Bynum,Small Business Needs
Janelle Bynum,Small Business
Janelle Bynum,Technology/Innovation
Pat Ryan,Affordability
Pat Ryan,Veterans
Pat Ryan,Protecting Democracy/Institutions
Pat Ryan,Anti-Corruption
Maggie Goodlander,Technology
Maggie Goodlander,Veterans
Maggie Goodlander,Defense
Maggie Goodlander,Anti-Trust/Competition
Maggie Goodlander,Technology/Innovation
George Whitesides,Extreme Heat/Fire Risk
George Whitesides,Housing
George Whitesides,Housing Affordability
Jake Auchincloss,Technology
Jake Auchincloss,Defense
Jake Auchincloss,Healthcare
Jake Auchincloss,Trade/Tariffs
Jake Auchincloss,Veterans
Jake Auchincloss,AI Governance
Jake Auchincloss,Technology/Innovation
Sarah McBride,Healthcare
Sarah McBride,Paid Leave
Sarah McBride,Childcare
Sarah McBride,Farming/Agriculture
Sarah McBride,LGBTQ+ Rights
Sarah McBride,Paid Family and Medical Leave
Sarah McBride,Affordability
Joe Neguse,Public Lands
Joe Neguse,Extreme Heat/Fire Risk
Joe Neguse,Technology
Joe Neguse,Affordability
Joe Neguse,Wildfire Prep/Mitigation
Joe Neguse,Protecting Democracy/Institutions
Joe Neguse,Rural
Brendan Boyle,Social Security
Brendan Boyle,Federal Budget
Brendan Boyle,Opioid Crisis
Brendan Boyle,Public Safety
Brendan Boyle,Healthcare
